{'deploy': True, 'tag': 'minLM', 'run_name': 'run2', 'seed': 0, 'device': 'cuda:0', 'total_iters': 600000, 'data': {'bs': 32, 'tokenizer': 'openai-community/gpt2', 'subsample': 1.0, 'min_len': 0, 'nworkers': 2}, 'net': {'compile': True, 'vocab_size': 50258, 'context_size': 512, 'n_layer': 12, 'n_head': 12, 'n_embd': 1080, 'dropout': 0.0, 'bias': False}, 'optimizer': {'learning_rate': 0.0003, 'weight_decay': 0.1, 'beta1': 0.9, 'beta2': 0.95, 'grad_clip': 1.0, 'grad_accumulation': 40, 'ignore_eos': False, 'use_scaler': True, 'warmup_iters': 0, 'decay_lr': True, 'min_lr': 3e-05}, 'log': {'eval_interval': 5000, 'log_interval': 500, 'save_interval': 50000}}
num decayed parameter tensors: 50, with 222,793,200 parameters
num non-decayed parameter tensors: 25, with 27,000 parameters
using fused AdamW: True
Iter 0 | Perplexity: 57534.89453125
Epoch 0.0
Iter 0 | LR: 0.0003 | Loss: inf
Iter 47500 | LR: 0.0002958461728104118 | Loss: 0.9777230481803425
Iter 48000 | LR: 0.0002957587267523652 | Loss: 0.97438929617405
Iter 48500 | LR: 0.00029567038448864637 | Loss: 0.969146328270435
Iter 49000 | LR: 0.0002955811466247433 | Loss: 0.9613521029055117
Iter 49500 | LR: 0.00029549101377228246 | Loss: 0.9731435570120812
Iter 50000 | Perplexity: 38.55497360229492
Iter 50000 | LR: 0.0002953999865490242 | Loss: 0.9651965679228309
Iter 50500 | LR: 0.00029530806557885895 | Loss: 0.9575582840293659
Iter 51000 | LR: 0.00029521525149180274 | Loss: 0.9580450502038003
Iter 51500 | LR: 0.0002951215449239929 | Loss: 0.9542927346378572
Iter 52000 | LR: 0.00029502694651768383 | Loss: 0.9629959577322003
Iter 52500 | LR: 0.00029493145692124234 | Loss: 0.947415016070009
Iter 53000 | LR: 0.00029483507678914353 | Loss: 0.94570586502552
Iter 53500 | LR: 0.0002947378067819659 | Loss: 0.9528057909011829
Epoch 2.0
Iter 54000 | LR: 0.0002946396475663873 | Loss: 0.9365865667164334
Iter 54500 | LR: 0.00029454059981517993 | Loss: 0.9280173519253734
Iter 55000 | Perplexity: 35.874332427978516
Iter 55000 | LR: 0.00029444066420720603 | Loss: 0.9205293963104482
Iter 55500 | LR: 0.00029433984142741306 | Loss: 0.9266285553574556
Iter 56000 | LR: 0.000294238132166829 | Loss: 0.9142118587344884
Iter 56500 | LR: 0.0002941355371225579 | Loss: 0.9217018201202157
Iter 57000 | LR: 0.0002940320569977745 | Loss: 0.9104628493636837
Iter 57500 | LR: 0.00029392769250172017 | Loss: 0.916751807779073
Iter 58000 | LR: 0.00029382244434969734 | Loss: 0.9192212612926957
Iter 58500 | LR: 0.00029371631326306514 | Loss: 0.9180544141679997
Iter 59000 | LR: 0.00029360929996923415 | Loss: 0.9063634252548218
Iter 59500 | LR: 0.00029350140520166144 | Loss: 0.9114423251152037
Iter 60000 | Perplexity: 33.61921691894531
Iter 60000 | LR: 0.0002933926296998457 | Loss: 0.9156512141227724
Iter 60500 | LR: 0.00029328297420932206 | Loss: 0.9160446478426458
Iter 61000 | LR: 0.00029317243948165703 | Loss: 0.9164765332639229
Iter 61500 | LR: 0.0002930610262744431 | Loss: 0.9062671469897032
Iter 62000 | LR: 0.00029294873535129403 | Loss: 0.9124701282382017
Iter 62500 | LR: 0.00029283556748183927 | Loss: 0.9010462856292731
Iter 63000 | LR: 0.0002927215234417186 | Loss: 0.9129582559317342
Iter 63500 | LR: 0.00029260660401257715 | Loss: 0.9057600663602345
Iter 64000 | LR: 0.0002924908099820599 | Loss: 0.8971516542136677
Iter 64500 | LR: 0.0002923741421438061 | Loss: 0.8920559175312527
Iter 65000 | Perplexity: 32.12309265136719
Iter 65000 | LR: 0.0002922566012974441 | Loss: 0.8970947089791298
Iter 65500 | LR: 0.00029213818824858556 | Loss: 0.9029837238043542
Iter 66000 | LR: 0.00029201890380882044 | Loss: 0.8987710399925705
Iter 66500 | LR: 0.0002918987487957108 | Loss: 0.9007164330780497
Iter 67000 | LR: 0.00029177772403278567 | Loss: 0.8911980465054512
Iter 67500 | LR: 0.00029165583034953537 | Loss: 0.8856994190812111
Iter 68000 | LR: 0.00029153306858140533 | Loss: 0.890739184692502
Iter 68500 | LR: 0.0002914094395697911 | Loss: 0.8905188991129392
Iter 69000 | LR: 0.0002912849441620321 | Loss: 0.8896108889579772
Iter 69500 | LR: 0.0002911595832114058 | Loss: 0.8856576513499023
Iter 70000 | Perplexity: 30.752389907836914
Iter 70000 | LR: 0.0002910333575771222 | Loss: 0.8881612193584442
Iter 70500 | LR: 0.0002909062681243177 | Loss: 0.8882089030742643
Iter 71000 | LR: 0.00029077831572404906 | Loss: 0.8791327406466006
Iter 71500 | LR: 0.0002906495012532879 | Loss: 0.8855141130089755
Iter 72000 | LR: 0.00029051982559491393 | Loss: 0.8769464292377229
Iter 72500 | LR: 0.00029038928963770976 | Loss: 0.8782483177632092
Iter 73000 | LR: 0.0002902578942763542 | Loss: 0.8787502165138726
Iter 73500 | LR: 0.00029012564041141624 | Loss: 0.8775429265201098
Iter 74000 | LR: 0.00028999252894934926 | Loss: 0.8763443313539017
Iter 74500 | LR: 0.0002898585608024842 | Loss: 0.8675659549981354
Iter 75000 | Perplexity: 29.606792449951172
Iter 75000 | LR: 0.0002897237368890237 | Loss: 0.8753591115772725
Iter 75500 | LR: 0.0002895880581330358 | Loss: 0.8803746588528162
Iter 76000 | LR: 0.00028945152546444754 | Loss: 0.8760197370499373
Iter 76500 | LR: 0.00028931413981903855 | Loss: 0.8699728421866894
Iter 77000 | LR: 0.00028917590213843456 | Loss: 0.873238626644015
Iter 77500 | LR: 0.00028903681337010125 | Loss: 0.8771586457639932
Iter 78000 | LR: 0.00028889687446733743 | Loss: 0.8697504835575821
Iter 78500 | LR: 0.00028875608638926866 | Loss: 0.8733766908943651
Iter 79000 | LR: 0.00028861445010084074 | Loss: 0.8722223614156248
Iter 79500 | LR: 0.00028847196657281283 | Loss: 0.871927325949073
Iter 80000 | Perplexity: 28.741907119750977
Iter 80000 | LR: 0.0002883286367817511 | Loss: 0.8747572213411325
Iter 80500 | LR: 0.0002881844617100219 | Loss: 0.8657246044278148
Epoch 3.0
Iter 81000 | LR: 0.0002880394423457851 | Loss: 0.8486514643579732
Iter 81500 | LR: 0.0002878935796829871 | Loss: 0.8381936428695919
Iter 82000 | LR: 0.00028774687472135423 | Loss: 0.8322800977528103
Iter 82500 | LR: 0.00028759932846638596 | Loss: 0.8316572856158018
Iter 83000 | LR: 0.00028745094192934775 | Loss: 0.8318243431299922
Iter 83500 | LR: 0.0002873017161272643 | Loss: 0.8411202029138803
Iter 84000 | LR: 0.0002871516520829126 | Loss: 0.8365351036190984
Iter 84500 | LR: 0.00028700075082481474 | Loss: 0.8316781722009184
Iter 85000 | Perplexity: 28.43962860107422
Iter 85000 | LR: 0.0002868490133872312 | Loss: 0.8356606602668761
Iter 85500 | LR: 0.0002866964408101531 | Loss: 0.8399028414487842
Iter 86000 | LR: 0.0002865430341392961 | Loss: 0.8324738115072254
Iter 86500 | LR: 0.0002863887944260922 | Loss: 0.8377005074173213
Iter 87000 | LR: 0.0002862337227276831 | Loss: 0.8343052014708509
Iter 87500 | LR: 0.0002860778201069129 | Loss: 0.8289562870562077
Iter 88000 | LR: 0.00028592108763232074 | Loss: 0.831919805929065
Iter 88500 | LR: 0.0002857635263781334 | Loss: 0.8328716044127942
Iter 89000 | LR: 0.00028560513742425804 | Loss: 0.8279745838791124
Iter 89500 | LR: 0.0002854459218562749 | Loss: 0.8288832431286567
Iter 90000 | Perplexity: 27.360624313354492
Iter 90000 | LR: 0.00028528588076542964 | Loss: 0.8309858016669742
Iter 90500 | LR: 0.00028512501524862593 | Loss: 0.8270294640213254
Iter 91000 | LR: 0.0002849633264084181 | Loss: 0.8318613577634093
Iter 91500 | LR: 0.00028480081535300325 | Loss: 0.8315474108606579
Iter 92000 | LR: 0.00028463748319621396 | Loss: 0.8344578512758015
Iter 92500 | LR: 0.00028447333105751065 | Loss: 0.8334972316026689
Iter 93000 | LR: 0.0002843083600619736 | Loss: 0.8295227945595975
Iter 93500 | LR: 0.0002841425713402956 | Loss: 0.8390932125598195
Iter 94000 | LR: 0.0002839759660287739 | Loss: 0.8320129627734424
Iter 94500 | LR: 0.00028380854526930283 | Loss: 0.8372233378887166
Iter 95000 | Perplexity: 26.589874267578125
Iter 95000 | LR: 0.0002836403102093653 | Loss: 0.8320917268842463
Iter 95500 | LR: 0.00028347126200202574 | Loss: 0.8301574024558066
Iter 96000 | LR: 0.00028330140180592156 | Loss: 0.8290634820610284
Iter 96500 | LR: 0.00028313073078525553 | Loss: 0.8276409637928006
Iter 97000 | LR: 0.0002829592501097878 | Loss: 0.8292902259528635
Iter 97500 | LR: 0.0002827869609548276 | Loss: 0.8373271318525068
Iter 98000 | LR: 0.00028261386450122557 | Loss: 0.8249823326617481
Iter 98500 | LR: 0.00028243996193536534 | Loss: 0.8277648472040893
Iter 99000 | LR: 0.0002822652544491558 | Loss: 0.8288719586282967
Iter 99500 | LR: 0.00028208974324002233 | Loss: 0.8312094477564093
Iter 100000 | Perplexity: 26.252275466918945
Iter 100000 | LR: 0.00028191342951089924 | Loss: 0.831496540904045
Iter 100500 | LR: 0.0002817363144702209 | Loss: 0.8169846437126393
Iter 101000 | LR: 0.00028155839933191416 | Loss: 0.822898230478167
Iter 101500 | LR: 0.00028137968531538935 | Loss: 0.8194608097523454
Iter 102000 | LR: 0.00028120017364553237 | Loss: 0.8267899144440899
Iter 102500 | LR: 0.0002810198655526961 | Loss: 0.8213885912299158
Iter 103000 | LR: 0.000280838762272692 | Loss: 0.8201665075868361
Iter 103500 | LR: 0.0002806568650467817 | Loss: 0.8244963487237692
Iter 104000 | LR: 0.00028047417512166837 | Loss: 0.8253339314460753
Iter 104500 | LR: 0.0002802906937494884 | Loss: 0.8176212272793049
Iter 105000 | Perplexity: 26.09367561340332
Iter 105000 | LR: 0.0002801064221878024 | Loss: 0.8303762217611077
Iter 105500 | LR: 0.0002799213616995872 | Loss: 0.8257245235890153
Iter 106000 | LR: 0.0002797355135532266 | Loss: 0.8241741374880078
Iter 106500 | LR: 0.00027954887902250297 | Loss: 0.8160983904451132
Iter 107000 | LR: 0.0002793614593865885 | Loss: 0.8214792352169753
Epoch 4.0
Iter 107500 | LR: 0.0002791732559300364 | Loss: 0.8246928475797175
Iter 108000 | LR: 0.000278984269942772 | Loss: 0.7851340091973543
Iter 108500 | LR: 0.0002787945027200842 | Loss: 0.7760407484322792
Iter 109000 | LR: 0.00027860395556261633 | Loss: 0.7838759362697604
Iter 109500 | LR: 0.0002784126297763571 | Loss: 0.7779261897504324
Iter 110000 | Perplexity: 25.623722076416016
Iter 110000 | LR: 0.00027822052667263224 | Loss: 0.7764874815940859
Iter 110500 | LR: 0.0002780276475680947 | Loss: 0.7874636127799749
Iter 111000 | LR: 0.0002778339937847165 | Loss: 0.7817330958694221
Iter 111500 | LR: 0.00027763956664977874 | Loss: 0.7858072635531426
Iter 112000 | LR: 0.0002774443674958634 | Loss: 0.7853626300394532
Iter 112500 | LR: 0.0002772483976608436 | Loss: 0.7836930639296765
Iter 113000 | LR: 0.0002770516584878746 | Loss: 0.7943018280714754
Iter 113500 | LR: 0.00027685415132538467 | Loss: 0.7877923341095437
Iter 114000 | LR: 0.0002766558775270658 | Loss: 0.7879966149479148
Iter 114500 | LR: 0.0002764568384518644 | Loss: 0.7840133482962848
Iter 115000 | Perplexity: 25.410076141357422
Iter 115000 | LR: 0.00027625703546397206 | Loss: 0.7840267404913901
Iter 115500 | LR: 0.0002760564699328161 | Loss: 0.7844067260622971
Iter 116000 | LR: 0.00027585514323305 | Loss: 0.791745798140764
Iter 116500 | LR: 0.0002756530567445447 | Loss: 0.7929781281203033
Iter 117000 | LR: 0.00027545021185237814 | Loss: 0.7894969871640213
Iter 117500 | LR: 0.00027524660994682665 | Loss: 0.791196235269308
Iter 118000 | LR: 0.00027504225242335476 | Loss: 0.7910443630814558
Iter 118500 | LR: 0.00027483714068260624 | Loss: 0.7874090942740445
Iter 119000 | LR: 0.00027463127613039384 | Loss: 0.7793195492029191
Iter 119500 | LR: 0.0002744246601776902 | Loss: 0.7860496208071698
Iter 120000 | Perplexity: 25.109203338623047
Iter 120000 | LR: 0.00027421729424061787 | Loss: 0.7880871019512419
Iter 120500 | LR: 0.00027400917974043984 | Loss: 0.7833945447206503
Iter 121000 | LR: 0.0002738003181035496 | Loss: 0.7906368980556729
Iter 121500 | LR: 0.00027359071076146134 | Loss: 0.7877742870151996
Iter 122000 | LR: 0.00027338035915080045 | Loss: 0.7890585303306585
Iter 122500 | LR: 0.00027316926471329314 | Loss: 0.7874960489571093
Iter 123000 | LR: 0.00027295742889575723 | Loss: 0.7913971627503634
Iter 123500 | LR: 0.00027274485315009154 | Loss: 0.7935090791434052
Iter 124000 | LR: 0.00027253153893326646 | Loss: 0.7827463532239193
Iter 124500 | LR: 0.0002723174877073138 | Loss: 0.7838639464229348
Iter 125000 | Perplexity: 24.700395584106445
Iter 125000 | LR: 0.0002721027009393167 | Loss: 0.7940971583873035
Iter 125500 | LR: 0.00027188718010139957 | Loss: 0.7826436158269641
Iter 126000 | LR: 0.0002716709266707182 | Loss: 0.7796718453615907
Iter 126500 | LR: 0.0002714539421294492 | Loss: 0.7822571212053296
Iter 127000 | LR: 0.0002712362279647805 | Loss: 0.7894179446250205
Iter 127500 | LR: 0.0002710177856689005 | Loss: 0.7846778179705136
Iter 128000 | LR: 0.0002707986167389883 | Loss: 0.7803743460774428
Iter 128500 | LR: 0.00027057872267720323 | Loss: 0.790654384642839
Iter 129000 | LR: 0.00027035810499067447 | Loss: 0.7769951455295084
Iter 129500 | LR: 0.00027013676519149104 | Loss: 0.7852018888294694
Iter 130000 | Perplexity: 24.33718490600586
Iter 130000 | LR: 0.000269914704796691 | Loss: 0.7858636355400087
Iter 130500 | LR: 0.0002696919253282516 | Loss: 0.7889791443198918
Iter 131000 | LR: 0.0002694684283130783 | Loss: 0.7920195614546546
Iter 131500 | LR: 0.0002692442152829946 | Loss: 0.7964218199253076
Iter 132000 | LR: 0.0002690192877747315 | Loss: 0.7817986958473919
Iter 132500 | LR: 0.000268793647329917 | Loss: 0.7839269709587101
Iter 133000 | LR: 0.0002685672954950654 | Loss: 0.7883340957015746
Iter 133500 | LR: 0.00026834023382156687 | Loss: 0.7817353165149685
Iter 134000 | LR: 0.0002681124638656767 | Loss: 0.790536834448576
Epoch 5.0
Iter 134500 | LR: 0.00026788398718850456 | Loss: 0.7795084691047667
Iter 135000 | Perplexity: 24.51234245300293
Iter 135000 | LR: 0.00026765480535600414 | Loss: 0.7414249090850359
Iter 135500 | LR: 0.000267424919938962 | Loss: 0.7362194431573152
Iter 136000 | LR: 0.0002671943325129871 | Loss: 0.7436394509673123
Iter 136500 | LR: 0.00026696304465849977 | Loss: 0.7396475338935851
Iter 137000 | LR: 0.0002667310579607211 | Loss: 0.7462476550787687
Iter 137500 | LR: 0.0002664983740096619 | Loss: 0.7383182437717916
Iter 138000 | LR: 0.000266264994400112 | Loss: 0.7460952769219884
Iter 138500 | LR: 0.00026603092073162907 | Loss: 0.7501761847734459
Iter 139000 | LR: 0.0002657961546085278 | Loss: 0.7471916682273146
Iter 139500 | LR: 0.0002655606976398689 | Loss: 0.7383822533488277
Iter 140000 | Perplexity: 24.602819442749023
Iter 140000 | LR: 0.0002653245514394482 | Loss: 0.7528883676975966
Iter 140500 | LR: 0.0002650877176257852 | Loss: 0.7392608161270621
Iter 141000 | LR: 0.0002648501978221123 | Loss: 0.7467547264695167
Iter 141500 | LR: 0.0002646119936563637 | Loss: 0.747061318680644
Iter 142000 | LR: 0.00026437310676116413 | Loss: 0.7451999115943914
Iter 142500 | LR: 0.0002641335387738175 | Loss: 0.741831819638609
Iter 143000 | LR: 0.0002638932913362961 | Loss: 0.7496076681464915
Iter 143500 | LR: 0.0002636523660952289 | Loss: 0.7546422172337767
Iter 144000 | LR: 0.0002634107647018905 | Loss: 0.7416990929841992
Iter 144500 | LR: 0.0002631684888121899 | Loss: 0.7548162324726594
Iter 145000 | Perplexity: 24.345367431640625
Iter 145000 | LR: 0.0002629255400866588 | Loss: 0.7550125034898518
Iter 145500 | LR: 0.0002626819201904406 | Loss: 0.751528565436602
Iter 146000 | LR: 0.00026243763079327885 | Loss: 0.7504065936058759
Iter 146500 | LR: 0.0002621926735695057 | Loss: 0.7517278394103051
Iter 147000 | LR: 0.00026194705019803047 | Loss: 0.7569742486625911
Iter 147500 | LR: 0.00026170076236232834 | Loss: 0.7562376350909474
Iter 148000 | LR: 0.0002614538117504284 | Loss: 0.7489063528180112
Iter 148500 | LR: 0.0002612062000549027 | Loss: 0.7608709505200393
Iter 149000 | LR: 0.00026095792897285397 | Loss: 0.7617864672094586
Iter 149500 | LR: 0.0002607090002059044 | Loss: 0.7580753130465746
Iter 150000 | Perplexity: 24.423002243041992
Iter 150000 | LR: 0.0002604594154601839 | Loss: 0.7549013081192968
Iter 150500 | LR: 0.00026020917644631835 | Loss: 0.7592335979640489
Iter 151000 | LR: 0.000259958284879418 | Loss: 0.7521066022664313
Iter 151500 | LR: 0.0002597067424790655 | Loss: 0.7562597113847735
Iter 152000 | LR: 0.0002594545509693043 | Loss: 0.7549921451509
Iter 152500 | LR: 0.0002592017120786268 | Loss: 0.7599157601594935
Iter 153000 | LR: 0.0002589482275399624 | Loss: 0.7573044464737175
Iter 153500 | LR: 0.0002586940990906658 | Loss: 0.7505832187086349
Iter 154000 | LR: 0.0002584393284725049 | Loss: 0.7515248496830462
Iter 154500 | LR: 0.000258183917431649 | Loss: 0.7582130553573374
Iter 155000 | Perplexity: 23.86058235168457
Iter 155000 | LR: 0.0002579278677186567 | Loss: 0.7527256340533496
Iter 155500 | LR: 0.00025767118108846427 | Loss: 0.7584804300963885
Iter 156000 | LR: 0.00025741385930037295 | Loss: 0.7603659189492464
Iter 156500 | LR: 0.0002571559041180375 | Loss: 0.7485520654171703
Iter 157000 | LR: 0.0002568973173094539 | Loss: 0.7564999692142008
Iter 157500 | LR: 0.0002566381006469471 | Loss: 0.7583716868609194
Iter 158000 | LR: 0.00025637825590715916 | Loss: 0.7491256149113172
Iter 158500 | LR: 0.00025611778487103686 | Loss: 0.7590156937390563
Iter 159000 | LR: 0.0002558566893238194 | Loss: 0.756966198980808
Iter 159500 | LR: 0.0002555949710550265 | Loss: 0.7576221550256009
Iter 160000 | Perplexity: 23.56981086730957
Iter 160000 | LR: 0.0002553326318584458 | Loss: 0.7559287177026275
Iter 160500 | LR: 0.00025506967353212094 | Loss: 0.7519695852696894
Iter 161000 | LR: 0.0002548060978783387 | Loss: 0.7515017294883729
Epoch 6.0
Iter 161500 | LR: 0.0002545419067036171 | Loss: 0.7355183604359632
Iter 162000 | LR: 0.000254277101818693 | Loss: 0.7036245743930338
Iter 162500 | LR: 0.00025401168503850927 | Loss: 0.7055232452601199
Iter 163000 | LR: 0.0002537456581822029 | Loss: 0.7040075887739659
Iter 163500 | LR: 0.00025347902307309213 | Loss: 0.7061313017457724
Iter 164000 | LR: 0.00025321178153866423 | Loss: 0.7145341441780327
Iter 164500 | LR: 0.0002529439354105626 | Loss: 0.7131213970482344
Iter 165000 | Perplexity: 24.382869720458984
Iter 165000 | LR: 0.00025267548652457475 | Loss: 0.7155517940223226
